"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"170" 0.198 0.228 0.208 0.216 0.276 0.23 0.23 0.26 0.226 0.2
"171" 0.53 0.366 0.408 0.382 0.504 0.326 0.354 0.244 0.466 0.512
"172" 0.932 0.912 0.942 0.922 0.86 0.97 0.942 0.95 0.986 0.89
"173" 0.174 0.148 0.098 0.12 0.098 0.136 0.106 0.076 0.118 0.094
"174" 0.168 0.226 0.218 0.236 0.196 0.156 0.254 0.19 0.238 0.296
"175" 0.168 0.226 0.218 0.236 0.196 0.156 0.254 0.19 0.238 0.296
"176" 0.1 0.058 0.05 0.124 0.038 0.08 0.062 0.082 0.066 0.07
"177" 0.1 0.058 0.05 0.124 0.038 0.08 0.062 0.082 0.066 0.07
"178" 0.004 0.01 0.012 0.012 0.006 0.004 0.004 0.002 0.006 0.024
"179" 0.146 0.176 0.152 0.14 0.182 0.122 0.132 0.212 0.154 0.12
"180" 0.538 0.564 0.438 0.508 0.292 0.492 0.492 0.494 0.312 0.518
"181" 0.444 0.372 0.396 0.4 0.406 0.454 0.416 0.31 0.458 0.506
"182" 0.078 0.07 0.076 0.056 0.074 0.068 0.044 0.096 0.102 0.068
"183" 0.11 0.132 0.106 0.138 0.108 0.134 0.148 0.138 0.174 0.2
"184" 0.314 0.35 0.298 0.308 0.258 0.34 0.314 0.372 0.226 0.356
"185" 0.234 0.388 0.306 0.26 0.244 0.25 0.292 0.318 0.24 0.24
"186" 0.31 0.382 0.248 0.308 0.29 0.308 0.298 0.336 0.254 0.29
"187" 0.504 0.326 0.402 0.288 0.496 0.398 0.426 0.568 0.31 0.354
"188" 0.182 0.172 0.296 0.168 0.298 0.126 0.166 0.292 0.138 0.208
"189" 0.134 0.09 0.098 0.104 0.054 0.072 0.084 0.092 0.12 0.086
"190" 0.9 0.938 0.784 0.936 0.884 0.726 0.84 0.898 0.884 0.872
"191" 0.216 0.344 0.29 0.35 0.332 0.296 0.206 0.252 0.4 0.324
"192" 0.216 0.344 0.29 0.35 0.332 0.296 0.206 0.252 0.4 0.324
"193" 0.2 0.304 0.296 0.142 0.314 0.18 0.238 0.33 0.276 0.154
"194" 0.352 0.376 0.318 0.362 0.312 0.382 0.336 0.292 0.33 0.344
"195" 0.352 0.376 0.318 0.362 0.312 0.382 0.336 0.292 0.33 0.344
"196" 0.352 0.376 0.318 0.362 0.312 0.382 0.336 0.292 0.33 0.344
"197" 0.124 0.28 0.15 0.114 0.192 0.216 0.168 0.114 0.2 0.138
"198" 0.944 0.972 0.952 0.97 0.966 0.964 0.974 0.916 0.976 0.986
"199" 0.144 0.07 0.05 0.044 0.108 0.05 0.106 0.1 0.086 0.082
"200" 0.242 0.234 0.262 0.226 0.076 0.26 0.434 0.442 0.188 0.462
"201" 0.178 0.076 0.074 0.068 0.088 0.068 0.062 0.142 0.066 0.14
"202" 0.106 0.096 0.062 0.07 0.062 0.094 0.068 0.128 0.07 0.082
"203" 0.238 0.272 0.244 0.15 0.132 0.328 0.278 0.126 0.216 0.084
"204" 0.19 0.208 0.254 0.212 0.2 0.238 0.182 0.246 0.152 0.24
"205" 0.108 0.08 0.034 0.072 0.096 0.08 0.094 0.122 0.076 0.11
"206" 0.106 0.138 0.128 0.244 0.116 0.168 0.134 0.154 0.142 0.18
"207" 0.102 0.034 0.156 0.098 0.08 0.138 0.088 0.08 0.1 0.034
"208" 0.366 0.34 0.438 0.294 0.3 0.358 0.334 0.298 0.334 0.304
"209" 0.236 0.13 0.43 0.31 0.26 0.254 0.238 0.302 0.134 0.328
"210" 0.368 0.282 0.096 0.136 0.148 0.222 0.12 0.126 0.098 0.144
"211" 0.338 0.172 0.194 0.372 0.336 0.326 0.3 0.388 0.318 0.15
"212" 0.064 0.074 0.11 0.042 0.052 0.068 0.08 0.094 0.078 0.07
"213" 0.904 0.908 0.906 0.93 0.832 0.868 0.84 0.92 0.924 0.786
"214" 0.042 0.052 0.064 0.04 0.04 0.024 0.056 0.034 0.02 0.038
"215" 0.308 0.098 0.276 0.12 0.27 0.152 0.238 0.192 0.196 0.212
"216" 0.556 0.438 0.488 0.61 0.196 0.392 0.41 0.422 0.59 0.56
"217" 0.254 0.148 0.318 0.15 0.27 0.204 0.24 0.208 0.248 0.286
"218" 0.156 0.16 0.222 0.458 0.284 0.284 0.174 0.144 0.268 0.202
"219" 0.094 0.078 0.076 0.086 0.114 0.094 0.044 0.042 0.102 0.046
"220" 0.152 0.184 0.298 0.388 0.206 0.306 0.208 0.166 0.234 0.196
"221" 0.062 0.136 0.128 0.162 0.122 0.158 0.106 0.126 0.162 0.102
"222" 0.946 0.942 0.844 0.904 0.91 0.906 0.882 0.874 0.898 0.972
"223" 0.106 0.082 0.112 0.094 0.132 0.116 0.078 0.056 0.086 0.15
"224" 0.174 0.168 0.208 0.164 0.288 0.162 0.126 0.136 0.16 0.144
"225" 0.958 0.92 0.89 0.94 0.94 0.938 0.826 0.886 0.938 0.89
"226" 0.16 0.158 0.114 0.12 0.154 0.162 0.104 0.096 0.12 0.168
"227" 0.466 0.424 0.552 0.566 0.544 0.576 0.316 0.468 0.448 0.402
"228" 0.46 0.45 0.406 0.49 0.308 0.424 0.392 0.284 0.474 0.532
"229" 0.138 0.24 0.21 0.178 0.134 0.208 0.104 0.14 0.106 0.106
"230" 0.08 0.122 0.134 0.158 0.214 0.148 0.156 0.142 0.114 0.114
"231" 0.166 0.128 0.174 0.2 0.138 0.202 0.194 0.152 0.158 0.202
"232" 0.174 0.17 0.256 0.314 0.198 0.188 0.248 0.204 0.17 0.292
"233" 0.176 0.178 0.152 0.218 0.176 0.212 0.14 0.174 0.206 0.116
