"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"292" 0.05 0.06 0.088 0.02 0.102 0.05 0.102 0.078 0.08 0.094
"293" 0.05 0.06 0.088 0.02 0.102 0.05 0.102 0.078 0.08 0.094
"294" 0.05 0.06 0.088 0.02 0.102 0.05 0.102 0.078 0.08 0.094
"295" 0 0.014 0.13 0.004 0.004 0.002 0.014 0.008 0.008 0.012
"296" 0 0.014 0.13 0.004 0.004 0.002 0.014 0.008 0.008 0.012
"297" 0 0 0 0 0 0 0 0 0 0
"298" 0 0 0 0 0 0 0 0 0 0
"299" 0 0 0 0 0 0 0 0 0 0
"300" 0 0 0 0 0 0 0 0 0 0
"301" 0 0 0 0 0 0 0 0 0 0
"302" 0.038 0.04 0.018 0.054 0.01 0.098 0.018 0.034 0.04 0.016
"303" 0.192 0.204 0.142 0.168 0.208 0.098 0.118 0.174 0.25 0.276
"304" 0.086 0.044 0.026 0.148 0.04 0.024 0.016 0.172 0.042 0.056
"305" 0.086 0.044 0.026 0.148 0.04 0.024 0.016 0.172 0.042 0.056
"306" 0.086 0.044 0.026 0.148 0.04 0.024 0.016 0.172 0.042 0.056
"307" 0.238 0.244 0.244 0.258 0.15 0.262 0.16 0.162 0.228 0.23
"308" 0.238 0.244 0.244 0.258 0.15 0.262 0.16 0.162 0.228 0.23
"309" 0.238 0.244 0.244 0.258 0.15 0.262 0.16 0.162 0.228 0.23
"310" 0.238 0.244 0.244 0.258 0.15 0.262 0.16 0.162 0.228 0.23
"311" 0.238 0.244 0.244 0.258 0.15 0.262 0.16 0.162 0.228 0.23
"312" 0.09 0.176 0.182 0.216 0.11 0.138 0.136 0.11 0.27 0.186
"313" 0.036 0.046 0.054 0.028 0.044 0.106 0.074 0.028 0.1 0.05
"314" 0.05 0.114 0.12 0.07 0.104 0.384 0.106 0.064 0.088 0.102
"315" 0.05 0.114 0.12 0.07 0.104 0.384 0.106 0.064 0.088 0.102
"316" 0.096 0.21 0.188 0.17 0.122 0.208 0.124 0.14 0.266 0.208
"317" 0.016 0.056 0.04 0.004 0.064 0.028 0.048 0.016 0.066 0.038
"318" 0.004 0 0.004 0.004 0.002 0 0.008 0.002 0.02 0.006
"319" 0.004 0 0.004 0.004 0.002 0 0.008 0.002 0.02 0.006
"320" 0.004 0 0.004 0.004 0.002 0 0.008 0.002 0.02 0.006
"321" 0 0 0 0 0 0.002 0 0 0 0
"322" 0 0 0 0 0 0.002 0 0 0 0
"323" 0.078 0.038 0.08 0.088 0.164 0.07 0.078 0.078 0.106 0.146
"324" 0.078 0.038 0.08 0.088 0.164 0.07 0.078 0.078 0.106 0.146
"325" 0.078 0.038 0.08 0.088 0.164 0.07 0.078 0.078 0.106 0.146
"326" 0.028 0.054 0.04 0.004 0.056 0.016 0.054 0.06 0.01 0.102
"327" 0.028 0.054 0.04 0.004 0.056 0.016 0.054 0.06 0.01 0.102
"328" 0.226 0.102 0.146 0.132 0.162 0.28 0.194 0.114 0.162 0.202
"329" 0.064 0.058 0.086 0.11 0.07 0.042 0.018 0.19 0.07 0.048
"330" 0.064 0.058 0.086 0.11 0.07 0.042 0.018 0.19 0.07 0.048
"331" 0.01 0.026 0.06 0.048 0.018 0.058 0.046 0.042 0.096 0.072
"332" 0.01 0.026 0.06 0.048 0.018 0.058 0.046 0.042 0.096 0.072
"333" 0.01 0.026 0.06 0.048 0.018 0.058 0.046 0.042 0.096 0.072
"334" 0.126 0.134 0.026 0.02 0.036 0.054 0.048 0.008 0.034 0.096
"335" 0.432 0.386 0.396 0.512 0.49 0.418 0.304 0.414 0.454 0.414
"336" 0.294 0.232 0.254 0.36 0.266 0.17 0.248 0.166 0.284 0.264
