"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"150" 0.338 0.308 0.112 0.212 0.41 0.19 0.202 0.208 0.41 0.466
"151" 0.214 0.186 0.224 0.222 0.302 0.208 0.344 0.138 0.19 0.256
"152" 0.364 0.222 0.328 0.282 0.24 0.14 0.356 0.226 0.308 0.146
"153" 0.188 0.082 0.314 0.174 0.192 0.258 0.158 0.19 0.192 0.37
"154" 0.334 0.376 0.404 0.404 0.558 0.37 0.338 0.428 0.376 0.464
"155" 0.57 0.288 0.178 0.232 0.35 0.316 0.33 0.336 0.208 0.37
"156" 0.136 0.104 0.082 0.122 0.096 0.02 0.016 0.034 0.178 0.128
"157" 0.492 0.624 0.632 0.636 0.566 0.68 0.496 0.658 0.668 0.654
"158" 0.024 0.14 0.05 0.05 0.02 0.07 0.026 0.022 0.036 0.016
"159" 0.134 0.228 0.07 0.15 0.228 0.142 0.166 0.054 0.11 0.224
"160" 0.214 0.314 0.306 0.366 0.35 0.29 0.346 0.146 0.102 0.21
"161" 0.254 0.328 0.074 0.336 0.29 0.286 0.028 0.262 0.238 0.264
"162" 0.214 0.416 0.166 0.218 0.232 0.304 0.25 0.222 0.09 0.288
"163" 0.524 0.404 0.532 0.562 0.332 0.518 0.584 0.578 0.5 0.678
"164" 0.228 0.184 0.252 0.162 0.186 0.214 0.21 0.19 0.186 0.154
"165" 0.32 0.384 0.442 0.262 0.292 0.292 0.366 0.22 0.272 0.362
"166" 0.24 0.202 0.158 0.254 0.166 0.164 0.228 0.27 0.126 0.192
"167" 0.042 0.08 0.056 0.072 0.084 0.04 0.05 0.05 0.09 0.022
"168" 0.268 0.334 0.098 0.208 0.232 0.224 0.222 0.23 0.166 0.394
"169" 0.284 0.172 0.172 0.142 0.086 0.138 0.134 0.226 0.11 0.184
"170" 0.138 0.214 0.202 0.134 0.16 0.082 0.218 0.382 0.212 0.306
"171" 0.454 0.334 0.406 0.314 0.312 0.294 0.052 0.27 0.33 0.292
"172" 0.188 0.126 0.098 0.142 0.142 0.126 0.414 0.082 0.12 0.154
"173" 0.556 0.722 0.654 0.69 0.772 0.714 0.63 0.336 0.28 0.658
"174" 0.158 0.118 0.156 0.128 0.438 0.136 0.136 0.158 0.146 0.172
"175" 0.108 0.122 0.056 0.068 0.148 0.096 0.1 0.12 0.186 0.062
"176" 0.676 0.728 0.644 0.576 0.706 0.494 0.634 0.69 0.7 0.618
"177" 0.192 0.1 0.338 0.15 0.398 0.138 0.134 0.132 0.1 0.17
"178" 0.082 0.034 0.066 0.068 0.146 0.078 0.078 0.098 0.072 0.088
"179" 0.43 0.438 0.47 0.462 0.122 0.478 0.438 0.056 0.448 0.092
"180" 0.24 0.332 0.268 0.326 0.29 0.408 0.302 0.306 0.392 0.258
"181" 0.4 0.274 0.288 0.35 0.358 0.344 0.366 0.224 0.22 0.262
